date_time,u,v,w,wind_speed,wind_dir,u,v,w,wind_speed,wind_dir,u,v,w,wind_speed,wind_dir
2018-08-10 00:00:00,0.19,0.28,-0.04,0.34,186.26,0.36,0.12,-0.21,0.43,301.92,-0.16,0.16,0.17,-0.09,21.08
2018-08-10 00:05:00,-0.09,-0.01,-0.01,0.09,192.16,0.10,-0.15,-0.16,0.25,177.16,-0.19,0.15,0.15,-0.16,-42.53
2018-08-10 00:10:00,0.14,0.24,0.00,0.27,172.42,0.31,0.09,-0.18,0.37,306.84,-0.17,0.14,0.18,-0.09,8.89
2018-08-10 00:15:00,0.43,0.34,-0.04,0.55,238.83,0.59,0.26,-0.21,0.68,285.18,-0.16,0.08,0.17,-0.13,81.63
2018-08-10 00:20:00,-0.07,0.20,-0.00,0.21,15.37,0.12,0.01,-0.16,0.21,346.20,-0.19,0.19,0.16,0.00,-178.80
2018-08-10 00:25:00,0.04,0.21,-0.04,0.22,107.73,0.21,0.04,-0.17,0.28,325.38,-0.17,0.17,0.13,-0.06,-64.76
2018-08-10 00:30:00,0.15,0.21,-0.08,0.27,189.19,0.32,0.05,-0.18,0.37,334.53,-0.17,0.16,0.10,-0.10,17.08
2018-08-10 00:35:00,-0.21,-0.08,0.04,0.23,142.05,0.04,-0.23,-0.11,0.26,253.86,-0.25,0.16,0.15,-0.03,-121.28
2018-08-10 00:40:00,-0.19,-0.07,-0.00,0.20,141.91,0.04,-0.22,-0.12,0.25,253.79,-0.23,0.15,0.12,-0.05,-124.06
2018-08-10 00:45:00,0.20,0.19,-0.07,0.28,223.25,0.37,0.05,-0.19,0.42,334.92,-0.18,0.13,0.12,-0.14,35.09
2018-08-10 00:50:00,0.14,0.07,-0.01,0.15,275.34,0.37,-0.06,-0.18,0.41,27.36,-0.23,0.13,0.17,-0.26,82.20
2018-08-10 00:55:00,-0.33,-0.12,0.01,0.35,144.28,-0.05,-0.34,-0.13,0.36,308.71,-0.28,0.22,0.14,-0.02,-136.53
2018-08-10 01:00:00,-0.29,-0.05,0.09,0.31,172.46,-0.02,-0.26,-0.13,0.29,298.21,-0.27,0.20,0.23,0.02,-99.17
2018-08-10 01:05:00,-0.07,0.11,0.00,0.13,333.41,0.14,-0.06,-0.15,0.21,67.68,-0.21,0.17,0.15,-0.08,117.42
2018-08-10 01:10:00,0.47,0.34,0.02,0.58,245.85,0.61,0.24,-0.21,0.69,291.51,-0.14,0.10,0.23,-0.11,89.60
2018-08-10 01:15:00,-0.18,0.12,0.05,0.22,260.84,0.02,-0.02,-0.10,0.11,139.35,-0.20,0.14,0.15,0.11,46.56
2018-08-10 01:20:00,-0.19,0.01,0.03,0.20,161.20,-0.03,-0.08,-0.05,0.10,0.41,-0.16,0.08,0.08,0.10,-124.65
2018-08-10 01:25:00,-0.06,0.11,0.02,0.13,350.25,0.06,0.10,-0.06,0.13,172.36,-0.11,0.01,0.08,-0.00,227.02
2018-08-10 01:30:00,-0.06,0.20,-0.01,0.21,29.78,0.09,0.12,-0.11,0.18,197.56,-0.15,0.09,0.10,0.03,-101.83
2018-08-10 01:35:00,-0.13,0.21,0.02,0.25,338.64,0.04,0.06,-0.12,0.14,182.54,-0.17,0.15,0.14,0.11,215.05
2018-08-10 01:40:00,-0.29,0.24,0.06,0.38,280.33,-0.15,0.16,-0.02,0.22,299.14,-0.13,0.08,0.08,0.16,233.79
2018-08-10 01:45:00,-0.24,0.22,0.01,0.33,291.20,-0.11,0.12,-0.07,0.18,304.35,-0.12,0.10,0.07,0.15,254.61
2018-08-10 01:50:00,-0.27,0.24,0.05,0.36,282.70,-0.14,0.17,-0.03,0.22,310.92,-0.13,0.07,0.08,0.14,235.17
2018-08-10 01:55:00,-0.33,0.32,0.04,0.47,293.28,-0.25,0.25,-0.01,0.36,294.12,-0.08,0.07,0.05,0.11,247.97
2018-08-10 02:00:00,-0.21,0.27,0.03,0.34,317.67,-0.12,0.21,-0.03,0.25,342.72,-0.09,0.06,0.06,0.10,245.76
2018-08-10 02:05:00,-0.42,0.43,0.02,0.60,296.41,-0.38,0.30,-0.02,0.48,274.99,-0.05,0.13,0.04,0.12,257.70
2018-08-10 02:10:00,-0.20,0.36,-0.01,0.41,344.72,-0.12,0.29,-0.08,0.32,6.97,-0.08,0.07,0.07,0.09,273.65
2018-08-10 02:15:00,-0.38,0.32,0.09,0.51,279.61,-0.30,0.25,0.01,0.40,278.64,-0.08,0.07,0.08,0.11,238.61
2018-08-10 02:20:00,-0.39,0.34,0.06,0.52,282.42,-0.34,0.24,-0.00,0.42,265.97,-0.05,0.10,0.07,0.11,250.41
2018-08-10 02:25:00,-0.40,0.53,0.05,0.67,320.88,-0.34,0.41,-0.03,0.54,311.96,-0.06,0.12,0.07,0.13,270.63
2018-08-10 02:30:00,-0.55,0.51,0.06,0.75,289.03,-0.52,0.33,-0.01,0.62,255.52,-0.03,0.18,0.07,0.13,256.82
2018-08-10 02:35:00,-0.46,0.39,0.05,0.60,280.68,-0.43,0.20,-0.04,0.47,233.73,-0.03,0.19,0.10,0.13,259.57
2018-08-10 02:40:00,-0.05,0.04,0.02,0.07,278.63,0.06,-0.02,-0.13,0.15,57.96,-0.11,0.06,0.16,-0.07,69.72
2018-08-10 02:45:00,-0.41,0.08,0.07,0.42,188.78,-0.27,-0.12,-0.07,0.30,131.46,-0.14,0.19,0.14,0.12,-148.79
2018-08-10 02:50:00,-0.35,0.45,0.05,0.57,319.79,-0.28,0.27,-0.07,0.40,292.70,-0.07,0.18,0.12,0.18,279.26
2018-08-10 02:55:00,-0.37,0.23,0.04,0.43,254.62,-0.27,0.07,-0.05,0.29,201.02,-0.09,0.15,0.08,0.14,249.40
2018-08-10 03:00:00,-0.20,0.24,0.05,0.32,311.60,-0.08,0.16,-0.07,0.19,355.15,-0.12,0.08,0.13,0.12,247.29
2018-08-10 03:05:00,-0.23,-0.02,-0.00,0.23,192.45,-0.11,-0.13,-0.08,0.19,54.99,-0.12,0.11,0.08,0.04,-123.41
2018-08-10 03:10:00,-0.10,0.02,0.01,0.10,190.02,-0.00,-0.05,-0.09,0.10,288.96,-0.10,0.07,0.10,-0.00,-86.23
2018-08-10 03:15:00,-0.13,0.20,0.03,0.24,335.17,-0.03,0.13,-0.07,0.15,36.73,-0.10,0.07,0.10,0.09,266.06
2018-08-10 03:20:00,-0.17,0.01,-0.03,0.18,168.45,-0.06,-0.06,-0.08,0.12,74.97,-0.11,0.07,0.04,0.06,-142.94
2018-08-10 03:25:00,-0.53,0.06,0.02,0.53,175.41,-0.43,-0.16,-0.02,0.46,139.32,-0.10,0.23,0.04,0.07,-159.25
2018-08-10 03:30:00,-0.03,0.07,-0.02,0.08,13.49,0.10,0.03,-0.13,0.17,306.80,-0.13,0.04,0.11,-0.08,-154.43
2018-08-10 03:35:00,-0.38,0.04,0.02,0.38,172.05,-0.25,-0.11,-0.05,0.28,131.51,-0.12,0.15,0.07,0.10,-164.88
2018-08-10 03:40:00,-0.36,-0.07,0.00,0.37,171.96,-0.24,-0.26,-0.10,0.37,54.98,-0.12,0.20,0.10,0.00,-131.07
2018-08-10 03:45:00,-0.33,0.11,-0.01,0.35,213.84,-0.24,-0.10,-0.11,0.28,134.98,-0.09,0.21,0.10,0.07,-121.22
2018-08-10 03:50:00,-0.19,0.34,0.03,0.39,344.29,-0.10,0.17,-0.13,0.23,338.25,-0.09,0.17,0.16,0.15,285.70
2018-08-10 03:55:00,-0.06,0.27,0.02,0.28,39.47,0.08,0.15,-0.14,0.22,159.47,-0.13,0.12,0.16,0.05,-74.53
2018-08-10 04:00:00,-0.02,0.09,0.03,0.10,36.89,0.13,0.03,-0.13,0.19,320.69,-0.15,0.06,0.16,-0.09,-141.70
2018-08-10 04:05:00,-0.12,0.12,-0.00,0.17,299.62,0.03,0.05,-0.12,0.13,190.53,-0.15,0.08,0.12,0.04,165.07
2018-08-10 04:10:00,-0.09,0.18,0.00,0.20,355.70,0.06,0.11,-0.11,0.17,165.29,-0.15,0.07,0.11,0.03,237.15
2018-08-10 04:15:00,0.34,0.27,0.04,0.44,241.41,0.49,0.35,-0.12,0.62,250.17,-0.15,-0.08,0.16,-0.18,101.21
2018-08-10 04:20:00,0.65,0.48,-0.00,0.81,245.20,0.80,0.63,-0.17,1.03,240.65,-0.16,-0.15,0.16,-0.23,105.78
2018-08-10 04:25:00,1.07,0.75,0.05,1.31,249.68,1.18,0.97,-0.19,1.54,236.36,-0.11,-0.22,0.24,-0.23,110.14
2018-08-10 04:30:00,1.33,0.80,0.01,1.55,262.72,1.43,1.05,-0.20,1.78,246.11,-0.10,-0.25,0.21,-0.23,119.97
2018-08-10 04:35:00,0.78,0.44,-0.07,0.90,267.07,0.87,0.47,-0.20,1.01,270.74,-0.09,-0.03,0.13,-0.11,114.56
2018-08-10 04:40:00,-0.47,0.36,0.10,0.60,271.20,-0.33,0.22,0.00,0.40,260.28,-0.14,0.14,0.10,0.21,239.61
2018-08-10 04:45:00,-0.32,0.36,0.06,0.48,308.46,-0.16,0.20,-0.07,0.26,314.52,-0.16,0.17,0.13,0.22,253.90
2018-08-10 04:50:00,0.33,0.28,0.02,0.44,233.02,0.56,0.14,-0.24,0.63,317.15,-0.23,0.15,0.25,-0.19,70.44
2018-08-10 04:55:00,-0.60,0.35,0.16,0.71,250.53,-0.37,0.29,-0.05,0.47,274.37,-0.23,0.06,0.21,0.24,215.51
2018-08-10 05:00:00,-0.15,0.23,0.09,0.29,336.19,0.07,0.11,-0.14,0.19,176.44,-0.22,0.12,0.23,0.10,186.32
2018-08-10 05:05:00,0.88,0.38,-0.02,0.96,286.99,1.08,0.24,-0.19,1.12,320.37,-0.20,0.14,0.17,-0.16,118.61
2018-08-10 05:10:00,0.68,0.37,-0.05,0.77,270.27,0.87,0.23,-0.21,0.93,313.83,-0.19,0.14,0.16,-0.15,106.09
2018-08-10 05:15:00,0.41,0.23,0.06,0.47,267.23,0.57,0.10,-0.17,0.61,330.23,-0.17,0.14,0.23,-0.14,96.97
2018-08-10 05:20:00,-0.18,0.27,0.15,0.36,329.61,0.02,0.18,-0.11,0.21,96.03,-0.20,0.09,0.25,0.15,231.73
2018-08-10 05:25:00,-0.52,0.27,0.11,0.59,239.52,-0.32,0.20,-0.05,0.38,257.73,-0.21,0.06,0.16,0.22,206.79
2018-08-10 05:30:00,-0.52,0.42,0.06,0.67,277.19,-0.27,0.34,-0.08,0.44,316.40,-0.24,0.08,0.14,0.22,227.36
2018-08-10 05:35:00,-0.53,0.59,0.03,0.79,305.25,-0.26,0.46,-0.14,0.54,343.58,-0.27,0.13,0.16,0.25,243.61
2018-08-10 05:40:00,-0.59,0.76,0.04,0.96,317.97,-0.29,0.67,-0.12,0.74,2.89,-0.30,0.09,0.16,0.22,251.97
2018-08-10 05:45:00,-0.60,0.75,0.08,0.96,314.92,-0.30,0.68,-0.06,0.75,2.14,-0.30,0.06,0.14,0.21,246.74
2018-08-10 05:50:00,-0.53,0.56,0.02,0.77,300.44,-0.29,0.47,-0.10,0.56,336.04,-0.23,0.09,0.12,0.21,243.19
2018-08-10 05:55:00,-0.47,0.47,0.05,0.67,295.41,-0.23,0.35,-0.12,0.43,334.53,-0.25,0.12,0.16,0.23,237.30
2018-08-10 06:00:00,-0.43,0.43,0.05,0.61,296.39,-0.19,0.32,-0.12,0.39,343.11,-0.24,0.11,0.17,0.22,235.68
2018-08-10 06:05:00,-0.17,0.13,-0.00,0.22,274.45,0.04,0.01,-0.13,0.14,313.46,-0.21,0.12,0.13,0.08,94.65
2018-08-10 06:10:00,-0.32,0.21,0.02,0.38,261.19,-0.12,0.13,-0.08,0.19,299.73,-0.20,0.09,0.10,0.19,214.92
2018-08-10 06:15:00,-0.40,0.20,0.04,0.45,236.46,-0.23,0.09,-0.09,0.26,220.25,-0.17,0.11,0.13,0.19,217.06
2018-08-10 06:20:00,-0.52,0.30,0.02,0.60,248.96,-0.31,0.24,-0.06,0.40,273.08,-0.21,0.06,0.08,0.20,216.30
2018-08-10 06:25:00,-0.33,0.27,0.01,0.43,276.06,-0.15,0.20,-0.09,0.26,323.35,-0.19,0.07,0.10,0.16,224.92
2018-08-10 06:30:00,-0.41,0.35,0.01,0.54,280.50,-0.18,0.25,-0.09,0.32,325.66,-0.24,0.10,0.10,0.22,229.27
2018-08-10 06:35:00,-0.53,0.55,0.06,0.77,299.51,-0.27,0.50,-0.07,0.57,348.67,-0.26,0.06,0.13,0.20,237.06
2018-08-10 06:40:00,-0.34,0.46,0.01,0.57,323.74,-0.07,0.33,-0.14,0.37,42.15,-0.27,0.13,0.15,0.20,247.43
2018-08-10 06:45:00,-0.37,0.49,0.02,0.61,320.76,-0.12,0.41,-0.10,0.44,25.21,-0.25,0.08,0.12,0.18,249.37
2018-08-10 06:50:00,-0.24,0.45,-0.03,0.51,349.27,-0.01,0.34,-0.16,0.37,69.63,-0.23,0.11,0.13,0.14,257.72
2018-08-10 06:55:00,-0.69,0.52,0.05,0.87,270.25,-0.46,0.41,-0.08,0.62,285.90,-0.24,0.11,0.13,0.25,230.91
2018-08-10 07:00:00,-0.36,0.42,0.07,0.55,310.81,-0.13,0.31,-0.11,0.36,7.56,-0.23,0.11,0.18,0.20,239.29
2018-08-10 07:05:00,0.29,0.18,0.09,0.36,259.86,0.41,0.08,-0.14,0.44,323.94,-0.11,0.10,0.23,-0.08,94.67
2018-08-10 07:10:00,-0.19,0.32,0.01,0.37,341.63,-0.02,0.20,-0.14,0.24,60.77,-0.17,0.12,0.15,0.13,247.37
2018-08-10 07:15:00,-0.49,0.35,0.13,0.61,265.92,-0.31,0.29,-0.07,0.43,289.39,-0.18,0.06,0.20,0.18,229.34
